user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
6	4	r4.2xlarge	32	244000	21300	5	100000000	3	380
6	4	r4.2xlarge	32	244000	13200	10	125000000	5	290
6	4	r4.2xlarge	32	244000	20300	5	150000000	5	410
6	4	r4.2xlarge	32	244000	10100	15	175000000	9	500
6	4	r4.2xlarge	32	244000	8000	5	125000000	3	470
6	4	r4.2xlarge	32	244000	20300	10	150000000	7	480
6	4	r4.2xlarge	32	244000	30500	10	100000000	7	530
6	4	r4.2xlarge	32	244000	30500	15	175000000	5	600
6	4	r4.2xlarge	32	244000	20200	5	150000000	3	306
6	4	r4.2xlarge	32	244000	20300	15	125000000	9	794
