user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
3	2	r4.2xlarge	16	122000	9730	5	100000000	50	390
3	2	r4.2xlarge	16	122000	9730	5	100000000	50	390
3	4	r4.2xlarge	32	244000	9730	5	100000000	50	130
3	4	r4.2xlarge	32	244000	9730	5	100000000	50	160
3	6	r4.2xlarge	48	366000	9730	5	100000000	100	102
3	6	r4.2xlarge	48	366000	14540	5	150000000	1	75
3	8	r4.2xlarge	64	488000	9730	5	100000000	100	96
3	8	r4.2xlarge	64	488000	14540	5	150000000	1	62
3	10	r4.2xlarge	80	610000	9730	5	100000000	100	88
3	10	r4.2xlarge	80	610000	14540	5	150000000	1	30
3	12	r4.2xlarge	96	732000	14540	5	150000000	50	90
3	12	r4.2xlarge	96	732000	14540	5	150000000	50	70
