user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
5	2	c4.2xlarge	16	30000	9530	1000	10000000	380
5	2	c4.2xlarge	16	30000	9630	100	100000000	385
5	4	c4.2xlarge	32	60000	9530	1000	10000000	205
5	4	c4.2xlarge	32	60000	9630	100	100000000	207
5	6	c4.2xlarge	48	90000	9530	1000	10000000	180
5	6	c4.2xlarge	48	90000	9630	100	100000000	184
5	8	c4.2xlarge	64	120000	17334	100	180000000	281
5	8	c4.2xlarge	64	120000	17334	100	180000000	301
5	10	c4.2xlarge	80	150000	9530	1000	10000000	160
5	10	c4.2xlarge	80	150000	9630	100	100000000	152
5	12	c4.2xlarge	96	180000	9530	1000	10000000	182
5	12	c4.2xlarge	96	180000	9630	100	100000000	133
