instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	m4.2xlarge	16	64000	12625	100	150000000	0.75	84
4	m4.2xlarge	32	128000	17675	100	150000000	1.0	73
10	m4.2xlarge	80	320000	15150	100	150000000	0.25	53
6	m4.2xlarge	48	192000	15150	100	150000000	0.25	156
2	m4.2xlarge	16	64000	20200	100	150000000	0.5	162
8	m4.2xlarge	64	256000	17675	100	100000000	0.0	101
12	m4.2xlarge	96	384000	10100	100	100000000	1.0	116
8	m4.2xlarge	64	256000	12625	100	100000000	0.0	209
4	m4.2xlarge	32	128000	20200	100	100000000	0.75	116
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	120
6	m4.2xlarge	48	192000	17675	100	100000000	0.5	234
10	m4.2xlarge	80	320000	10100	100	100000000	0.25	88
10	m4.2xlarge	80	320000	12625	100	100000000	0.5	50
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	83
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	153
2	m4.2xlarge	16	64000	20200	100	100000000	0.5	156
12	m4.2xlarge	96	384000	10100	100	100000000	0.75	158
12	m4.2xlarge	96	384000	15150	100	100000000	0.5	158
2	m4.2xlarge	16	64000	20200	100	100000000	1.0	205
4	m4.2xlarge	32	128000	12625	100	150000000	0.75	123
6	m4.2xlarge	48	192000	17675	100	150000000	1.0	332
8	m4.2xlarge	64	256000	15150	100	150000000	0.25	234
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	54
6	m4.2xlarge	48	192000	20200	100	150000000	0.5	97
2	m4.2xlarge	16	64000	17675	100	100000000	0.0	124
8	m4.2xlarge	64	256000	10100	100	100000000	1.0	252
12	m4.2xlarge	96	384000	12625	100	100000000	0.0	343
10	m4.2xlarge	80	320000	20200	100	100000000	0.75	72
12	m4.2xlarge	96	384000	10100	100	100000000	1.0	92
8	m4.2xlarge	64	256000	17675	100	100000000	0.5	211
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	342
12	m4.2xlarge	96	384000	12625	100	100000000	0.5	235
6	m4.2xlarge	48	192000	10100	100	100000000	0.25	135
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	197
4	m4.2xlarge	32	128000	20200	100	100000000	0.5	201
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	88
10	m4.2xlarge	80	320000	15150	100	100000000	0.5	266
8	m4.2xlarge	64	256000	20200	100	100000000	1.0	167
2	m4.2xlarge	16	64000	12625	100	150000000	0.75	82
4	m4.2xlarge	32	128000	17675	100	150000000	1.0	73
10	m4.2xlarge	80	320000	15150	100	150000000	0.25	53
6	m4.2xlarge	48	192000	15150	100	150000000	0.25	151
2	m4.2xlarge	16	64000	20200	100	150000000	0.5	161
8	m4.2xlarge	64	256000	17675	100	100000000	0.0	105
12	m4.2xlarge	96	384000	10100	100	100000000	1.0	119
8	m4.2xlarge	64	256000	12625	100	100000000	0.0	215
4	m4.2xlarge	32	128000	20200	100	100000000	0.75	116
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	127
6	m4.2xlarge	48	192000	17675	100	100000000	0.5	239
10	m4.2xlarge	80	320000	10100	100	100000000	0.25	87
10	m4.2xlarge	80	320000	12625	100	100000000	0.5	50
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	83
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	156
2	m4.2xlarge	16	64000	20200	100	100000000	0.5	156
12	m4.2xlarge	96	384000	10100	100	100000000	0.75	153
12	m4.2xlarge	96	384000	15150	100	100000000	0.5	152
2	m4.2xlarge	16	64000	20200	100	100000000	1.0	207
4	m4.2xlarge	32	128000	12625	100	150000000	0.75	123
6	m4.2xlarge	48	192000	17675	100	150000000	1.0	335
8	m4.2xlarge	64	256000	15150	100	150000000	0.25	234
4	m4.2xlarge	32	128000	15150	100	150000000	0.25	54
6	m4.2xlarge	48	192000	20200	100	150000000	0.5	97
2	m4.2xlarge	16	64000	17675	100	100000000	0.0	127
8	m4.2xlarge	64	256000	10100	100	100000000	1.0	252
12	m4.2xlarge	96	384000	12625	100	100000000	0.0	342
10	m4.2xlarge	80	320000	20200	100	100000000	0.75	78
12	m4.2xlarge	96	384000	10100	100	100000000	1.0	92
8	m4.2xlarge	64	256000	17675	100	100000000	0.5	211
4	m4.2xlarge	32	128000	10100	100	100000000	0.25	349
12	m4.2xlarge	96	384000	12625	100	100000000	0.5	235
6	m4.2xlarge	48	192000	10100	100	100000000	0.25	138
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	199
4	m4.2xlarge	32	128000	20200	100	100000000	0.5	207
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	89
10	m4.2xlarge	80	320000	15150	100	100000000	0.5	268
8	m4.2xlarge	64	256000	20200	100	100000000	1.0	169
2	m4.2xlarge	16	64000	12625	100	150000000	0.75	88
4	m4.2xlarge	32	128000	17675	100	150000000	1.0	73
10	m4.2xlarge	80	320000	15150	100	150000000	0.25	58
6	m4.2xlarge	48	192000	15150	100	150000000	0.25	156
2	m4.2xlarge	16	64000	20200	100	150000000	0.5	162
8	m4.2xlarge	64	256000	17675	100	100000000	0.0	101
12	m4.2xlarge	96	384000	10100	100	100000000	1.0	116
8	m4.2xlarge	64	256000	12625	100	100000000	0.0	209
4	m4.2xlarge	32	128000	20200	100	100000000	0.75	116
4	m4.2xlarge	32	128000	10100	100	100000000	1.0	125
6	m4.2xlarge	48	192000	17675	100	100000000	0.5	234
10	m4.2xlarge	80	320000	10100	100	100000000	0.25	83
10	m4.2xlarge	80	320000	12625	100	100000000	0.5	50
