instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
4	r4.2xlarge	32	244000	263	1000000	20000000	0.005	482
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0001	64
12	r4.2xlarge	96	732000	291	3000000	20000000	0.01	542
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	574
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0001	97
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	564
8	r4.2xlarge	64	488000	284	2000000	20000000	0.0005	104
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.0005	64
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	590
6	r4.2xlarge	48	366000	131	1000000	10000000	0.01	526
6	r4.2xlarge	48	366000	145	3000000	10000000	0.005	624
8	r4.2xlarge	64	488000	142	2000000	10000000	0.005	582
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0001	656
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	604
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	96
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	488
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	56
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	104
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0001	97
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	564
8	r4.2xlarge	64	488000	284	2000000	20000000	0.0005	104
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.0005	64
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	590
6	r4.2xlarge	48	366000	131	1000000	10000000	0.01	526
6	r4.2xlarge	48	366000	145	3000000	10000000	0.005	624
8	r4.2xlarge	64	488000	142	2000000	10000000	0.005	582
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0001	656
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	604
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	96
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	488
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	56
4	r4.2xlarge	32	244000	263	1000000	20000000	0.005	482
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0001	64
12	r4.2xlarge	96	732000	291	3000000	20000000	0.01	542
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	574
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0001	97
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	564
8	r4.2xlarge	64	488000	284	2000000	20000000	0.0005	104
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.0005	64
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	590
6	r4.2xlarge	48	366000	131	1000000	10000000	0.01	526
6	r4.2xlarge	48	366000	145	3000000	10000000	0.005	624
8	r4.2xlarge	64	488000	142	2000000	10000000	0.005	582
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0001	656
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	604
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	96
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	488
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	56
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	104
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	574
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0001	97
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	564
8	r4.2xlarge	64	488000	284	2000000	20000000	0.0005	104
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.0005	64
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	590
6	r4.2xlarge	48	366000	131	1000000	10000000	0.01	526
6	r4.2xlarge	48	366000	145	3000000	10000000	0.005	624
8	r4.2xlarge	64	488000	142	2000000	10000000	0.005	582
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0001	656
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	604
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	96
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	488
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	56
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	104
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0005	95
8	r4.2xlarge	64	488000	142	2000000	10000000	0.001	558
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	76
12	r4.2xlarge	96	732000	291	3000000	20000000	0.005	98
4	r4.2xlarge	32	244000	263	1000000	20000000	0.01	444
6	r4.2xlarge	48	366000	145	3000000	10000000	0.01	478
10	r4.2xlarge	80	610000	142	2000000	10000000	0.001	554
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	101
12	r4.2xlarge	96	732000	142	2000000	10000000	0.0005	52
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	34
10	r4.2xlarge	80	610000	426	2000000	30000000	0.0001	97
8	r4.2xlarge	64	488000	284	2000000	20000000	0.001	564
