instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
4	r4.2xlarge	32	244000	29081	5	100000000	1	214
6	r4.2xlarge	48	366000	24268	5	200000000	1	64
4	r4.2xlarge	32	244000	19353	10	250000000	1	432
12	r4.2xlarge	96	732000	29081	15	200000000	1	216
10	r4.2xlarge	80	610000	9730	5	100000000	1	118
6	r4.2xlarge	48	366000	9730	10	300000000	25	316
8	r4.2xlarge	64	488000	9730	5	100000000	25	431
6	r4.2xlarge	48	366000	14540	10	200000000	25	316
8	r4.2xlarge	64	488000	9730	5	100000000	25	318
4	r4.2xlarge	32	244000	29081	15	300000000	25	124
6	r4.2xlarge	48	366000	24268	5	100000000	50	104
12	r4.2xlarge	96	732000	29081	15	300000000	50	410
10	r4.2xlarge	80	610000	9730	10	100000000	50	123
6	r4.2xlarge	48	366000	14540	5	100000000	50	412
4	r4.2xlarge	32	244000	19353	5	200000000	50	412
4	r4.2xlarge	32	244000	9730	5	200000000	100	63
8	r4.2xlarge	64	488000	14540	15	250000000	100	324
8	r4.2xlarge	64	488000	9730	5	100000000	100	410
10	r4.2xlarge	80	610000	24268	5	100000000	100	234
10	r4.2xlarge	80	610000	24268	10	300000000	100	410
6	r4.2xlarge	48	366000	9730	5	300000000	100	145
12	r4.2xlarge	96	732000	19353	10	250000000	100	156
4	r4.2xlarge	32	244000	9730	5	200000000	100	410
6	r4.2xlarge	48	366000	29081	15	100000000	100	245
4	r4.2xlarge	32	244000	19353	5	200000000	100	106
6	r4.2xlarge	48	366000	9730	5	200000000	100	89
10	r4.2xlarge	80	610000	14540	15	250000000	100	456
4	r4.2xlarge	32	244000	9730	5	100000000	100	412
8	r4.2xlarge	64	488000	24268	5	100000000	100	315
6	r4.2xlarge	48	366000	24268	10	300000000	100	145
12	r4.2xlarge	96	732000	9730	5	300000000	100	456
8	r4.2xlarge	64	488000	19353	10	250000000	100	278
6	r4.2xlarge	48	366000	9730	5	200000000	100	296
4	r4.2xlarge	32	244000	29081	5	100000000	1	214
6	r4.2xlarge	48	366000	24268	5	200000000	1	64
