instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
4	r4.2xlarge	32	244000	21300	5	100000000	3	1238
12	r4.2xlarge	96	732000	13200	10	125000000	5	1590
4	r4.2xlarge	32	244000	20300	5	150000000	5	1910
12	r4.2xlarge	96	732000	30500	15	100000000	5	2170
10	r4.2xlarge	80	610000	10100	15	175000000	9	1950
4	r4.2xlarge	32	244000	8000	5	125000000	3	2170
4	r4.2xlarge	32	244000	20300	10	150000000	7	1648
12	r4.2xlarge	96	732000	30500	10	100000000	7	1853
10	r4.2xlarge	80	610000	30500	15	100000000	7	2414
6	r4.2xlarge	48	366000	30500	15	175000000	5	1360
6	r4.2xlarge	48	366000	20200	5	150000000	3	1856
8	r4.2xlarge	64	488000	20300	15	125000000	9	1994
8	r4.2xlarge	64	488000	30500	5	175000000	5	1860
4	r4.2xlarge	32	244000	20200	5	125000000	3	2591
10	r4.2xlarge	80	610000	8000	15	100000000	9	2879
8	r4.2xlarge	64	488000	21300	15	150000000	7	2956
8	r4.2xlarge	64	488000	21300	5	100000000	3	1980
6	r4.2xlarge	48	366000	13200	10	125000000	5	2090
12	r4.2xlarge	96	732000	20300	5	150000000	5	1541
10	r4.2xlarge	80	610000	13200	5	125000000	9	2196
12	r4.2xlarge	96	732000	10100	15	175000000	9	2400
6	r4.2xlarge	48	366000	8000	5	125000000	3	1970
8	r4.2xlarge	64	488000	20300	10	150000000	7	1848
10	r4.2xlarge	80	610000	30500	10	100000000	7	1953
12	r4.2xlarge	96	732000	16000	5	150000000	3	3138
4	r4.2xlarge	32	244000	30500	15	175000000	5	2060
10	r4.2xlarge	80	610000	20200	5	150000000	3	2906
10	r4.2xlarge	80	610000	20300	15	125000000	9	2379
6	r4.2xlarge	48	366000	30500	5	175000000	5	2360
12	r4.2xlarge	96	732000	20200	5	125000000	3	1991
4	r4.2xlarge	32	244000	8000	15	100000000	9	1879
10	r4.2xlarge	80	610000	21300	15	150000000	7	1862
12	r4.2xlarge	96	732000	20300	10	100000000	5	1144
4	r4.2xlarge	32	244000	8000	5	125000000	3	1870
4	r4.2xlarge	32	244000	20300	10	150000000	7	1248
10	r4.2xlarge	80	610000	16000	5	150000000	9	1192
12	r4.2xlarge	96	732000	30500	15	100000000	5	2170
10	r4.2xlarge	80	610000	10100	15	175000000	9	1950
4	r4.2xlarge	32	244000	8000	5	125000000	3	2170
4	r4.2xlarge	32	244000	20300	10	150000000	7	1648
12	r4.2xlarge	96	732000	30500	10	100000000	7	1853
10	r4.2xlarge	80	610000	30500	15	100000000	7	2414
6	r4.2xlarge	48	366000	30500	15	175000000	5	1360
6	r4.2xlarge	48	366000	20200	5	150000000	3	1856
8	r4.2xlarge	64	488000	20300	15	125000000	9	1994
